sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,algorithm_version,sleep_created,sleep_last_updated
1054188031047379496,CLASSIC,90,0,0,90,0,0,0,-07:00,2026-06-12T20:55:30Z,-07:00,2026-06-12T22:25:30Z,DERIVED,sleep_session_v1,2026-06-12T22:28:08Z,2026-06-12T22:28:08Z
1059816718257472480,STAGES,516,0,0,347,169,0,0,-07:00,2026-05-21T07:25:00Z,-07:00,2026-05-21T16:01:00Z,DERIVED,sleep_session_v2,2026-05-21T08:03:08Z,2026-05-21T16:02:19Z
113337681721369888,STAGES,531,0,0,451,80,0,0,-07:00,2026-06-23T06:45:30Z,-07:00,2026-06-23T15:37:00Z,DERIVED,sleep_session_v1,2026-06-23T13:36:01Z,2026-06-23T15:47:39Z
1157642722227134984,STAGES,478,0,0,433,44,0,0,-07:00,2026-07-02T08:37:00Z,-07:00,2026-07-02T16:35:00Z,DERIVED,sleep_session_v2,2026-07-02T09:08:37Z,2026-07-02T16:43:44Z
1234253986876577456,CLASSIC,78,0,0,76,2,0,0,-07:00,2026-06-16T21:55:00Z,-07:00,2026-06-16T23:13:30Z,DERIVED,sleep_session_v1,2026-06-16T23:17:24Z,2026-06-16T23:17:25Z
1248724941013227440,STAGES,444,0,0,394,50,0,0,-07:00,2026-04-29T08:50:30Z,-07:00,2026-04-29T16:14:30Z,DERIVED,sleep_session_v1,2026-04-29T16:16:16Z,2026-04-29T16:16:17Z
1265549314476502960,STAGES,467,0,0,388,79,0,0,-07:00,2026-03-16T06:19:00Z,-07:00,2026-03-16T14:06:30Z,DERIVED,sleep_session_v1,2026-03-16T14:10:36Z,2026-03-16T14:10:37Z
1274778611074739976,CLASSIC,85,0,0,85,0,0,0,-07:00,2026-04-17T23:22:30Z,-07:00,2026-04-18T00:47:30Z,DERIVED,sleep_session_v1,2026-04-18T00:55:38Z,2026-04-18T00:55:38Z
1298927791429392504,STAGES,478,0,0,427,51,0,0,-07:00,2026-03-18T06:49:00Z,-07:00,2026-03-18T14:47:00Z,DERIVED,sleep_session_v2,2026-03-18T07:12:21Z,2026-03-18T18:50:32Z
1305826519233710640,STAGES,435,0,0,368,67,0,0,-07:00,2026-06-28T07:21:00Z,-07:00,2026-06-28T14:36:00Z,DERIVED,sleep_session_v2,2026-06-28T08:03:51Z,2026-06-28T14:40:03Z
1307995452258990008,STAGES,431,0,0,390,41,0,0,-08:00,2026-01-17T09:14:00Z,-08:00,2026-01-17T16:25:30Z,DERIVED,sleep_session_v1,2026-01-17T17:51:06Z,2026-01-17T17:51:07Z
1312721818469143656,STAGES,380,0,0,334,45,0,0,-07:00,2026-06-03T08:48:30Z,-07:00,2026-06-03T15:08:30Z,DERIVED,sleep_session_v1,2026-06-03T15:09:40Z,2026-06-03T15:09:40Z
1313854375617954160,STAGES,479,0,0,415,64,0,0,-07:00,2026-06-20T06:39:00Z,-07:00,2026-06-20T14:38:30Z,DERIVED,sleep_session_v1,2026-06-20T14:46:38Z,2026-06-20T14:46:39Z
1318187470334668288,STAGES,398,0,0,348,49,0,0,-08:00,2026-02-10T08:47:30Z,-08:00,2026-02-10T15:25:30Z,DERIVED,sleep_session_v1,2026-02-10T15:31:34Z,2026-02-10T15:31:34Z
